,id,type,date,text,named_entities
0,new_york_herald_12148-bd6t525546_article_23,article,1920-10-04,"(By Special Cable to the Herald.)
Cnicaco, Sunday.—The Chicago
Health Commissioners declare
that whererer death results
through. tlie refusal of landlords
to provide sufficient heat, they
will be brought to trial von a
charge of murder. During. the
severe epidemic of influenza last
gear and therprevious gear, many
cases merealleged-to have been
due directlg to the insufficiener of
the heat suppty in apartmeuts","[('Special Cable', 'ORG'), ('Herald', 'LOC'), ('Cnicaco', 'GPE'), ('Chicago', 'GPE'), ('Health Commissioners', 'ORG')]"
1,new_york_herald_12148-bd6t525546_article_192,article,1920-10-04,"phlegm,'' she says.No Ameriran audience,
with all its väunted pep, everrose to a baited
line thieway-ther did for the- lines here. The
answer, I think, is the pit. Treally#think it's
a shame we can't have it in New Vork.
Every London theatre lias at the rear. of
the orchestra stalls from six#to twenty rows
of benches. Admission to them is, roughly,
fifty cents and no seats are reserved. For a
successful production long lines of men and
Women,, wait inthe rain for hours to get good
places in these rush seats. It ditfers from
the American. “gallery'' in that it brings
this body of unsophisticated susceptibility, if
Fouschoose toscall it that—whafever it is, it's
susceptibleirand enthusiastic—right into lhe
main body of the. house. It’seright back of
the coldlz critical three-dollar stalls and
eilher in approval or disapproval it makes
the atmosphere in which the play is received.
Pit and Critics.
So powerful is this influence that during
the epidemies of influenza
the London
theatrical managers successfully resisted appeals by. the health authorities to do away
with the pit qucues. The learned theatrical
critics, of the“Times' or ihe“Morning
Post’' mnay be utterly bored by a production
—yet if it meets the approval of the pittiter
it is asuccess—and there have been a halfdozen of these successes within the last few
seasons towards which the critics have been
compelled eventuallyto change their opinions
and to admit that the pit was right.
Miss Nash heatedly denied just before sailing that there was ever the slightest expression of dislike for American actresses or
actors on the grounds of their nationalit","[('Ameriran', 'PERSON'), ('New Vork', 'GPE'), ('London', 'GPE'), ('twenty', 'CARDINAL'), ('fifty cents', 'MONEY'), ('hours', 'TIME'), ('American', 'NORP'), ('three-dollar', 'MONEY'), ('Pit and Critics', 'ORG'), ('London', 'GPE'), ('Nash', 'PERSON'), ('American', 'NORP')]"
2,new_york_herald_12148-bd6t52949f_article_168,article,1919-11-03,"Fesigus are already erident that an
influenza cpidemie mav be expected,
said an eminent Paris physician gesterday. It is cxpccted that the cpidemic, which is not of a dangerous nature, as was that of last autumn, will
manifest itself with the ordinar
symptoms of a cold and sick-headache
ghich if neglected devclops and crcates
a farorable ground fertile for the in
fluenza germ. But the cases recorded
this Fear are more like che old-fash
ioned influcnza, which lasts from ührce
days to a fortnight, It can be treated
rapidlg by going directly to bed, eren
if onlg for twenty-four hours by eating
light but extremely nourishing food
and by keeping oneself in good Spirits
This infuenza need not be viewed
with alarm. No pncumonia is present,
except-in veiy exceptional cases.","[('Paris', 'GPE'), ('last autumn', 'DATE'), ('days', 'DATE'), ('twenty-four hours', 'TIME'), ('pncumonia', 'GPE')]"
3,new_york_herald_12148-bd6t52466v_article_4,article,1920-07-08,"For some days rumor has been busy- concerning a spirit ol revolt which has been
manifested among civil forces of lhe Crown
in at least IWo counties. In öne centre,affecting a considerable aren, it is statedi that
fourteen resignations were sent in simultaneously. Two officers of high rank, military
and civil, hurried to the scene to make an
investigation as to the cause of- the trouble.
They found the situation even worse than
they had expecteg, and negotiations carried
on with the spokesmen orer sandbag: defences failed to establish a disciplinary Spirit.
This epidemic of resignations is spreading.
The men refuse to temporise with any armed
forces, and they will fraternise with none
butcivilian townsfolk, between whom and
thiemselves there had been previouslyrgrowing
a dangerous antagonism.
The military authorities: in Lotidondert
have prohibited the Orange ccicbratien oflthe
anniversary, of the. Battlerof, the Boyne - on
take
Manday next, which was. orgänised to
placelat Glendermöt.
In County Wexiord ihe Irish- Republican
Army häs takenaver lhic powers of. the licensing, authorities, and.ndtices. hare been handerl
to proprietors, of. salons, informing theni that
hy a ruling of the“Republican courts'' their
premises are.to be open only between'tlic
hours of 8 alm, and 9 p.m., and no drink
may be sold on Sundays or Cliurch holidays","[('some days', 'DATE'), ('Crown', 'PRODUCT'), ('fourteen', 'CARDINAL'), ('Two', 'CARDINAL'), ('Spirit', 'ORG'), ('Lotidondert', 'GPE'), ('Orange', 'NORP'), ('Battlerof', 'PERSON'), ('Boyne', 'PERSON'), ('Manday', 'DATE'), ('Glendermöt', 'PERSON'), ('County Wexiord', 'FAC'), ('Republican', 'NORP'), ('Army', 'ORG'), ('theni', 'PRODUCT'), (""only between'tlic\nhours"", 'TIME'), ('8', 'CARDINAL'), ('9 p.m.', 'TIME'), ('Sundays', 'DATE')]"
4,new_york_herald_12148-bd6t51517t_article_43,article,1919-06-06,"Sir Boverton Redwood, the petroleum
expert, died suddenly in London on
Wednesday in his seventy-fourth year.
Sir Boverton held many appointments
under Government and public bodies
and wrôte many books on petroleum.
Eight American Red Cross nurses were
yesterday decorated in Athens by King
Alexander of Greece with the Medal of
Military Merit for their work in fighting the typhus epidemic in Mecedonia
They were: Miss Sara Addison, Baltimore; Miss Marie Glauber, Chicago;
Miss Alma Hartz, Davenport, Ia.; Miss
Isabelle Martin, San Francisco; Miss
Emily Porter, Bridgeport, Conn.; Miss
Clarissa Blakeslee, Drexel Hill, Pa.;
Miss Edith Gienn, Bristol, Pa.; Miss
Florence Stone, Plainfield, N.J. In
making the presentation, King Alexander spoke feelingly of his gratitude to
America. After the ceremony the American Minister presented to the King
two of the members of the Red Cross.
mission, Major Burke C. Hamilton, of
Goshen, N.F., and Major Robert Bruce
Wallace, of Oleveland.","[('Boverton Redwood', 'PERSON'), ('London', 'GPE'), ('Wednesday', 'DATE'), ('seventy-fourth year', 'DATE'), ('Boverton', 'PERSON'), ('Government', 'ORG'), ('Eight', 'CARDINAL'), ('American Red Cross', 'ORG'), ('yesterday', 'DATE'), ('Athens', 'GPE'), ('Greece', 'GPE'), ('Mecedonia', 'GPE'), ('Sara Addison', 'PERSON'), ('Baltimore', 'GPE'), ('Marie Glauber', 'PERSON'), ('Chicago', 'GPE'), ('Alma Hartz', 'PERSON'), ('Davenport', 'GPE'), ('Ia.', 'GPE'), ('Isabelle Martin', 'PERSON'), ('San Francisco', 'GPE'), ('Miss', 'PERSON'), ('Emily Porter', 'PERSON'), ('Bridgeport', 'GPE'), ('Conn.', 'GPE'), ('Clarissa Blakeslee', 'PERSON'), ('Drexel Hill', 'ORG'), ('Pa.', 'GPE'), ('Edith Gienn', 'PERSON'), ('Bristol', 'GPE'), ('Pa.', 'GPE'), ('Florence Stone', 'PERSON'), ('Plainfield', 'GPE'), ('N.J.', 'GPE'), ('King Alexander', 'PERSON'), ('America', 'GPE'), ('American', 'NORP'), ('two', 'CARDINAL'), ('the Red Cross', 'ORG'), ('Burke C. Hamilton', 'PERSON'), ('Goshen', 'GPE'), ('N.F.', 'GPE'), ('Robert Bruce', 'PERSON'), ('Wallace', 'PERSON'), ('Oleveland', 'ORG')]"
5,new_york_herald_12148-bd6t54033j_article_261,article,1920-05-13,"M. Léon Bernard at the last sitting ol
the Kcadémie de Médecine gave some details
olthe proposal of the Ministry 6f Hygiene
to establish an Institute of Hygiene in Paris
at an early date.
The institute will undertake the study of
all questions relating to alimentary hygiene
and hygienic conditions of labor, in addition
to epidemic diseases. It will constitute a
school of public heallh and will train medical
specialists.","[('M. Léon Bernard', 'PERSON'), ('Kcadémie de Médecine', 'PERSON'), ('an Institute of Hygiene', 'ORG'), ('Paris', 'GPE'), ('an early date', 'DATE')]"
6,new_york_herald_12148-bd6t54016x_article_284,article,1920-04-25,"Paris has“plaiditis' as far as
fashions are concerned, and tliere seems
to. be absolutely no cure-for it. In a
milder form it might be called “stripitis.“ Women have been checkered
and striped for the last two years, and
still the. fabric makers say that more
of such designs are to come with thc
autumn. Thei epidemic is apparently
not pechliar to Paris alone, for Neu
Vork seems to have had the disease in
a more violent form, and will, therefore, be the first to recover
While the French weavers decided to
perfect, the plaids and stripes by inaking them appear einbroidered and
beaded on the fabric. the American
manufacturers turned threm ont in such
millions that they hare grown common.
The result will be that American women, wlio have been prevented from
coming'to France for the. last'six Fears
to choose their own dresses, will become
ill at the sight of anything that locks
like checks or'stripes, as they have only
recently gotrid of the Splaiditis“
germ.
The Scotch plaids came in with a
whoop about two Fears ago, after the
little Parisienne had been hobnobbing
with the Highlanders und decided
she. liked their kilts, so it will
not be surprising if “plaiditis'
stays, with us in this part of
the world for yet another year. The
Scotch featüre“ of the plaids, however,
seeins to have worn off to some extent,
and they have become daring designs
in tremendous squares. The five-inch
squares, even in any Combination so
striking as black and white, seem tame
now. Capes and coats and' even whole
tailored costumes are made of checkered fabrics. with the checks measuring
a foot'square. In fact, the checksare
so liuge in the newest. materials#that
some of the mantles have somcthing of
a lialf-and-half effect, with one square
of one color displayed in front, while
thie next square of a contrasting color
covers the back, suggesting“gol' and
'stop’' street-sign. effect
The fact that plaids have groun so
huge in their design might be responsible for tlie pleated skirts that have
gröwn'so modish, for the-dressmakers
have evidently decided that the only
way to hold the checks within bounds
is to pleat them, thus making them
about oner half their original size.
One of the smartest costumes at the
faces a few days ago had a bläck and","[('Paris', 'GPE'), ('the last two years', 'DATE'), ('thc\nautumn', 'PERSON'), ('Thei', 'PERSON'), ('Paris', 'GPE'), ('Neu\nVork', 'ORG'), ('first', 'ORDINAL'), ('French', 'NORP'), ('American', 'NORP'), ('millions', 'CARDINAL'), ('American', 'NORP'), ('France', 'GPE'), (""or'stripes"", 'GPE'), ('Splaiditis', 'PRODUCT'), ('Scotch', 'NORP'), ('two Fears ago', 'DATE'), ('Parisienne', 'PRODUCT'), ('Highlanders', 'NORP'), ('another year', 'DATE'), ('Scotch', 'NORP'), ('five-inch', 'QUANTITY'), ('Combination', 'ORG'), ('one', 'CARDINAL'), ('one', 'CARDINAL'), ('half', 'CARDINAL'), ('One', 'CARDINAL'), ('a few days ago', 'DATE')]"
7,new_york_herald_12148-bd6t52907q_article_73,article,1919-09-22,"Some Deaths Are Reported, but
Epidemic.
Lornos, Sunday.—ho returns ol
the Registrar-General show that nine
deaths froin influenza occurred in London last weck, and that in tlio 96
greut towns of Ensland and Wales the
number of deaths was 29.
Tho average of deaths in London is
returned as 5. In che other towns tho
numbers weckly have ranged from 33
to 15 during the current quarter. In
the first quarter of the year, when the
cpidemic was raging in this country,
influenza was either a primary or a
contributory causé of death in. 10
fewer than 37,697 casos.
Thore are no signs of a return of
the influenza opidemie,? declares an
oflicial of the Ministry of Health.","[('Lornos', 'PERSON'), ('Registrar', 'ORG'), ('nine', 'CARDINAL'), ('London', 'GPE'), ('96', 'CARDINAL'), ('Ensland', 'GPE'), ('Wales', 'GPE'), ('29', 'DATE'), ('London', 'GPE'), ('5', 'CARDINAL'), ('33', 'CARDINAL'), ('15', 'CARDINAL'), ('the current quarter', 'DATE'), ('the first quarter of the year', 'DATE'), ('10', 'CARDINAL'), ('fewer than 37,697', 'CARDINAL'), ('the Ministry of Health', 'ORG')]"
8,new_york_herald_12148-bd6t539237_article_6,article,1920-01-23,"Cutcado, Thursday.—wo thousand
unch eight new eases of influenza and
181 nei easecs of pneumoniaaro rcported to-duy. Hitherto influenza has
been responsible for 6I deaths and
pneunionja for 21
Arsärr, Thursday.—Mr. Smith, Governor of. Now „Tork State, gave a
luncheon yesterday to De Valera, uho
is here to hegin his campaign Tor ehe
sale öf Trish bonds., Mr. Watt, the
Mayor of Albany, gave a reception in
honor-of. De Valern in the cvening","[('Cutcado', 'GPE'), ('thousand', 'CARDINAL'), ('eight', 'CARDINAL'), ('181', 'CARDINAL'), ('Hitherto influenza', 'PERSON'), ('21', 'CARDINAL'), ('Arsärr', 'ORG'), ('Smith', 'GPE'), ('Tork State', 'WORK_OF_ART'), ('yesterday', 'DATE'), ('De Valera', 'ORG'), ('Trish', 'NORP'), ('Watt', 'PERSON'), ('Albany', 'GPE'), ('De Valern', 'PERSON')]"
9,new_york_herald_12148-bd6t539237_article_81,article,1920-01-23,"One day Harrington twisted a
button olf his conb. Hie hated to sew.
So he hunted threngh the little villago
until he found a motherlz' woman,
whom he asked to repair his coat.
Tho woman was Umé. Frèrejacque.
While the repair work was under way
Mme. Frèrejacque's daughter, Angole
Frèrejacque, came in
Thab settlerl it for Jack Harrington;
also for Angele. Neither could speak
the language of thc other. But thab
was not necessary. Each knew tho
universal language of lore. In time
he was inrited to the Frérejacque
hiome for Sunday dinner. Other dinner
juritations followed.
Harrington was taken ill with influenza. Men were dring like flies of
the epidemic. He secured leare of
absence and went to the Frèrejacque
home. They nursed him back to health.
*I would have died had I remained
in the hospital,' Harrington say's.
Harrington and Angele Frerejacque
were married March 20, 1918, in Marey-sur-Tille. The entire toyn attended the wedding.
in France, Harrington was ordered
back to America. He ahd-his little
bride sailed in the Mercurg.: The
Mercurg docked at Newport News
on July 5. Threo dags later Jack Harrington was given his discharge and
started for Lincoln with his wife. His
old position with the Burlington rail¬","[('One', 'CARDINAL'), ('Harrington', 'GPE'), ('Mme', 'PERSON'), ('Frèrejacque', 'ORG'), ('Angole\nFrèrejacque', 'PRODUCT'), ('Thab', 'GPE'), ('Jack Harrington', 'PERSON'), ('Angele', 'PERSON'), ('Frérejacque', 'NORP'), ('Sunday', 'DATE'), ('Harrington', 'GPE'), ('Frèrejacque', 'ORG'), ('Harrington', 'GPE'), ('Angele Frerejacque', 'PERSON'), ('March 20, 1918', 'DATE'), ('Marey', 'GPE'), ('France', 'GPE'), ('Harrington', 'GPE'), ('America', 'GPE'), ('Mercurg', 'GPE'), ('Mercurg', 'PERSON'), ('Newport News', 'FAC'), ('July 5', 'DATE'), ('Jack Harrington', 'PERSON'), ('Lincoln', 'ORG'), ('Burlington', 'ORG'), ('rail¬', 'GPE')]"
